特征,F值,p值
 Source Port,6655.44641893526,0.0
 min_seg_size_forward,2776.2261571850645,0.0
 Avg Fwd Segment Size,5921.138771953941,0.0
 Average Packet Size,4643.802738802375,0.0
 Down/Up Ratio,2723.8855026194024,0.0
 URG Flag Count,2566.922153416932,0.0
 Packet Length Mean,3055.7343438773,0.0
 Min Packet Length,8423.00322012606,0.0
Fwd Packets/s,5605.625534589464,0.0
 Flow Packets/s,5574.149136030725,0.0
Flow Bytes/s,11419.86163004101,0.0
 Bwd Packet Length Min,1976.0570688542932,0.0
 Inbound,11186.946996776094,0.0
Fwd Packet Length Mean,5921.138884824495,0.0
 Fwd Packet Length Min,8429.953295363108,0.0
 Destination Port,2680.8067181354263,0.0
 Protocol,3116.5764385264706,0.0
 Avg Bwd Segment Size,963.1536132344337,2.6294327082609024e-201
 Bwd Packet Length Mean,963.1536014662433,2.629446742829222e-201
 Packet Length Std,885.9342772019004,4.878547426266493e-186
 CWE Flag Count,817.0963542496062,2.5040200713277188e-172
 RST Flag Count,739.7603302487529,8.221495770321531e-157
Fwd PSH Flags,739.7603302487529,8.221495770321531e-157
Bwd Packet Length Max,732.6375781485655,2.2394077088324803e-155
 Flow Duration,555.9707043732934,1.9246656670304784e-119
 Bwd Packet Length Std,554.2233702162139,4.395995079256002e-119
Fwd IAT Total,525.8155062713067,3.0479281426910924e-113
 Fwd Packet Length Std,516.9664762633197,2.0277951699767665e-111
 Bwd IAT Min,487.6380609460081,2.297639193152054e-105
 Flow IAT Max,477.4630064662144,2.9249854504658575e-103
 Idle Max,444.28963969358773,2.209918179016108e-96
 Fwd IAT Max,441.32611388062367,9.120812583844144e-96
Idle Mean,440.21020712531435,1.555637440068462e-95
Bwd IAT Total,440.1820530476286,1.576735690145479e-95
 Packet Length Variance,429.95123358497074,2.1131686306845067e-93
 Flow IAT Std,414.53945582803294,3.418010565998934e-90
 Idle Min,413.200479373298,6.498468687798261e-90
Init_Win_bytes_backward,411.6324282293006,1.379236075370219e-89
 Fwd IAT Std,410.7299901460908,2.1269549548803714e-89
 Bwd IAT Std,402.31230150521196,1.211648820581892e-87
 Bwd IAT Max,399.67227201003936,4.308453549839687e-87
 Bwd IAT Mean,377.13995945149975,2.2031926770255833e-82
 Fwd Packet Length Max,231.53228224779963,1.1536911938223764e-51
Init_Win_bytes_forward,198.84724946527126,1.0741498000219469e-44
 Fwd IAT Mean,191.0289958863339,5.03929433301922e-43
 ACK Flag Count,174.63569794555244,1.630811896475919e-39
 Flow IAT Mean,105.00883859432042,1.6409385390280576e-24
Active Mean,86.14704674820675,2.046044513187463e-20
 Active Min,85.91643855794253,2.2966562215163502e-20
 Idle Std,52.499433424172125,4.646329000476268e-13
 Active Max,37.92966732854859,7.637865455986798e-10
 Max Packet Length,31.68722449931809,1.8636539393370193e-08
Total Length of Fwd Packets,23.591044875129416,1.2108412352457767e-06
 Subflow Fwd Bytes,23.591044875129416,1.2108412352457767e-06
 Bwd Packets/s,17.320092462528294,3.1867396137134886e-05
 SYN Flag Count,14.667932949686044,0.0001290512361783813
 Active Std,10.96216964283604,0.0009334503367876016
 Fwd Header Length.1,6.136820559285046,0.013257149448788986
 Fwd Header Length,6.136820559285046,0.013257149448788986
 Bwd Header Length,5.136229992972282,0.023454351211583468
Subflow Fwd Packets,4.815019134710033,0.028237400772744236
 Total Fwd Packets,4.815019134710033,0.028237400772744236
 Fwd IAT Min,4.604759435355385,0.031909127528689095
 Flow IAT Min,4.183446541559337,0.04084868366260384
 Subflow Bwd Packets,4.135775445514103,0.0420141532493021
 Total Backward Packets,4.135775445514103,0.0420141532493021
 act_data_pkt_fwd,4.037120996907134,0.04453852937111173
 Subflow Bwd Bytes,1.7005616039906042,0.19224681921664113
 Total Length of Bwd Packets,1.7005616039906042,0.19224681921664113
 Bwd PSH Flags,,
 Fwd URG Flags,,
 Bwd URG Flags,,
FIN Flag Count,,
 PSH Flag Count,,
 ECE Flag Count,,
Fwd Avg Bytes/Bulk,,
 Fwd Avg Packets/Bulk,,
 Fwd Avg Bulk Rate,,
 Bwd Avg Bytes/Bulk,,
 Bwd Avg Packets/Bulk,,
Bwd Avg Bulk Rate,,
